time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
2.760000000000002,-0.0117319725912,-0.0206084029573,63.7901274058,6.28137254176,0.0027593598461,0.0,-0.0188968128052,-0.0218927191557,28.1542677382,-0.00141217038443,0.00312017445052,0.0,899.995680505,900.002196028,900.001037561,899.997311626
2.820000000000002,-0.0129155769163,-0.0219544950545,65.4794958531,6.28128535241,0.00294840029947,0.0,-0.0205729997633,-0.0229844063017,28.1579219553,-0.00153526758144,0.00321161419676,0.0,899.997078506,900.000713281,900.002663711,899.997710939
2.880000000000002,-0.0142030950463,-0.0233676314768,67.1690660325,6.28119143898,0.00314175133456,0.0,-0.0223610514907,-0.0241281632572,28.1610064794,-0.00162521466918,0.00324431804915,0.0,899.998844044,900.000098358,900.001734676,899.998127055
2.940000000000002,-0.015601307005,-0.0248510528438,68.8588064585,6.28109141826,0.00333635729443,0.0,-0.0242629485475,-0.0253277543527,28.1636089711,-0.00175075302646,0.00324166154449,0.0,899.999514367,899.999336041,900.002366231,899.997319258
3.000000000000002,-0.0171170626681,-0.0264082268355,70.5486905053,6.28098344654,0.00353206304783,0.0,-0.0262792288167,-0.0265872740312,28.1658040953,-0.00189727606525,0.0033019409242,0.0,899.998658891,900.001029325,900.002016902,899.996122843
3.0600000000000023,-0.018757258985,-0.0280428953176,72.2386956168,6.28086806598,0.00373201830872,0.0,-0.0284113297111,-0.0279116243179,28.1676531709,-0.00197453469874,0.00339382090345,0.0,899.997116335,900.000765293,900.000389442,899.997303499
3.1200000000000023,-0.0205289302329,-0.0297590693885,73.9288029273,6.28074794463,0.00393742117047,0.0,-0.0306622212024,-0.029304545972,28.1692178907,-0.00205706490772,0.00348244548055,0.0,899.997801043,900.001316337,900.001219541,899.997921777
3.1800000000000024,-0.0224393013689,-0.0315609497271,75.6189966218,6.28062290488,0.00414670494983,0.0,-0.0330350756099,-0.0307689400333,28.170538776,-0.00213792141206,0.00349929746924,0.0,899.998303504,899.99891047,900.002192569,899.99896435
3.2400000000000024,-0.0244957483141,-0.0334529134147,77.30926324,6.28049259859,0.00435708745759,0.0,-0.0355315173122,-0.0323077745819,28.1716538527,-0.00223956977194,0.00352052899519,0.0,899.998746197,899.999530187,900.002114344,899.998045845
3.3000000000000025,-0.0267057086435,-0.0354395256079,78.9995914446,6.28035622118,0.00456867263757,0.0,-0.0381523061159,-0.0339244300818,28.1725960048,-0.00233982642852,0.0035382003204,0.0,899.998883976,899.99952337,900.002298298,899.998288309
